l,age,gender,income,education,empl_status,marital_stat,religion,job_worry,exp1_trt,exp1trt1_nc,exp1trt2_nc,exp1_dv1,exp1_dv2,ideol_lr,imp_rel,exp2_trt,exp2_dv,conf_un,leader_type,courts_confidence,Region,Q16,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Exp3,Q18_1,Q18_2,Q19_1,Q19_2,Q19_3,Q19_4,Q20,Exp4,,Q21_1,Q21_2,Q22,Q23,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q27_1,Q27_2,Q28,Q29,Q30,Q31_1,Q31_2,Q33_1,Q33_2,Q33_3,Q33_4,Q33_5,Q34,Q35,Q36
1007,38,2,7,4,1,6,1,1,1,0,,2,4,4,4,4,4,1,2,4,Tamil Nadu,Strongly disagree,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Experiment 3 - Treatment 2,Strongly  oppose,Strongly  oppose,Respect for Elders,Self-Reliance,To be well-behaved,To have good manners,Strongly disagree,Experiment 4 - Treatment 1,,3,3,3,Relying on military force to defeat terrorism creates hatred that leads to more terrorism,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,3,3,India can’t be too careful,Vastly superior,The judicial system should be directly supervised by the duly elected government in office,4=Approve Strongly,4=Approve Strongly,3,3,3,3,3,Frequently,Under no circumstances should basic rights and freedoms be restricted,Under no circumstances should basic rights and freedoms be restricted
1008,28,1,2,3,6,6,6,1,2,,0,1,3,5,1,1,1,4,1,2,Bihar,Agree,Checked,Unchecked,Checked,Unchecked,Unchecked,Experiment 3 - Treatment 5,Strongly support,Strongly support,Independence,Obedience,To be considerate,To have curiosity,Agree,Experiment 4 - Treatment 2,,2,3,3,Using overwhelming military force is the best way to defeat terrorism around the world,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,3,3,India can trust other nations,Not at all superior,The judicial system should be free from any political interference from governments and parliament,1= Disapprove strongly,1= Disapprove strongly,3,3,3,3,3,Never,Basic rights and freedoms can be restricted when it comes to security,Basic rights and freedoms can be limited when it comes to economic development
1010,25,2,5,4,2,6,1,4,1,0,,2,4,6,1,3,2,2,2,3,Tamil Nadu,Agree,Checked,Checked,Unchecked,Unchecked,Unchecked,Experiment 3 - Treatment 1,Support somewhat,Support somewhat,Independence,Obedience,To be well-behaved,To have good manners,Disagree,Experiment 4 - Treatment 1,,7,6,3,Relying on military force to defeat terrorism creates hatred that leads to more terrorism,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,6,1,India can trust other nations,Not so superior,The judicial system should be directly supervised by the duly elected government in office,4=Approve Strongly,3=Approve Somewhat,4,4,1,1,1,Frequently,Under no circumstances should basic rights and freedoms be restricted,Under no circumstances should basic rights and freedoms be restricted
1011,32,2,7,4,2,6,9,1,1,0,,1,7,10,1,2,1,1,1,1,Maharashtra,Strongly agree,Checked,Unchecked,Unchecked,Unchecked,Checked,Experiment 3 - Treatment 4,Strongly support,Strongly support,Respect for Elders,Self-Reliance,To be well-behaved,To have good manners,Strongly agree,Experiment 4 - Treatment 2,,7,7,7,Using overwhelming military force is the best way to defeat terrorism around the world,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,7,7,India can trust other nations,Vastly superior,The judicial system should be free from any political interference from governments and parliament,4=Approve Strongly,4=Approve Strongly,7,7,7,7,7,Frequently,Basic rights and freedoms can be restricted when it comes to security,Basic rights and freedoms can be limited when it comes to economic development
1012,21,2,9,8,5,6,1,1,1,1,,1,6,5,4,4,4,4,1,3,Delhi,Neither agree nor disagree,Unchecked,Checked,Checked,Unchecked,Unchecked,Experiment 3 - Treatment 1,Strongly support,Strongly support,Independence,Self-Reliance,To be considerate,To have curiosity,Agree,Experiment 4 - Treatment 1,,2,6,5,Using overwhelming military force is the best way to defeat terrorism around the world,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Somewhat Agree,4,2,India can’t be too careful,Not so superior,The judicial system should be free from any political interference from governments and parliament,2=Disapprove Somewhat,4=Approve Strongly,2,1,1,1,1,Sometimes,Basic rights and freedoms can be restricted when it comes to security,Under no circumstances should basic rights and freedoms be restricted
1013,60,1,7,7,1,1,6,1,1,0,,2,1,3,3,3,3,2,2,3,Delhi,Strongly agree,Checked,Unchecked,Checked,Unchecked,Unchecked,Experiment 3 - Treatment 3,Indifferent,Indifferent,Respect for Elders,Self-Reliance,To be well-behaved,To have good manners,Strongly disagree,Experiment 4 - Treatment 1,,3,1,2,Using overwhelming military force is the best way to defeat terrorism around the world,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,7,1,India can’t be too careful,Not so superior,The judicial system should be free from any political interference from governments and parliament,4=Approve Strongly,4=Approve Strongly,1,1,6,1,1,Sometimes,Under no circumstances should basic rights and freedoms be restricted,Under no circumstances should basic rights and freedoms be restricted
1014,38,2,4,4,1,1,5,4,1,1,,1,7,3,2,4,1,2,2,1,Delhi,Disagree,Checked,Checked,Unchecked,Unchecked,Unchecked,Experiment 3 - Treatment 4,Strongly  oppose,Strongly  oppose,Respect for Elders,Self-Reliance,To be well-behaved,To have curiosity,Strongly agree,Experiment 4 - Treatment 2,,7,2,2,Using overwhelming military force is the best way to defeat terrorism around the world,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,7,5,India can’t be too careful,Very superior,The judicial system should be free from any political interference from governments and parliament,3=Approve Somewhat,4=Approve Strongly,1,4,1,1,1,Frequently,Under no circumstances should basic rights and freedoms be restricted,Under no circumstances should basic rights and freedoms be restricted
1015,44,1,3,3,2,1,6,4,1,1,,1,7,10,1,3,1,1,1,1,Jharkhand,Strongly agree,Checked,Unchecked,Checked,Unchecked,Unchecked,Experiment 3 - Treatment 5,Strongly support,Strongly support,Respect for Elders,Obedience,To be well-behaved,To have good manners,Strongly agree,Experiment 4 - Treatment 1,,7,7,7,Using overwhelming military force is the best way to defeat terrorism around the world,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,7,5,India can trust other nations,Vastly superior,The judicial system should be directly supervised by the duly elected government in office,4=Approve Strongly,4=Approve Strongly,5,7,6,7,5,Never,Basic rights and freedoms can be restricted when it comes to security,Basic rights and freedoms can be limited when it comes to economic development
1016,31,2,4,4,3,1,6,2,1,0,,1,4,9,1,2,1,1,1,1,Tripura,Strongly agree,Checked,Checked,Unchecked,Unchecked,Unchecked,Experiment 3 - Treatment 5,Strongly support,Strongly support,Independence,Obedience,To be considerate,To have curiosity,Strongly agree,Experiment 4 - Treatment 2,,7,6,7,Using overwhelming military force is the best way to defeat terrorism around the world,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,6,7,India can trust other nations,Vastly superior,The judicial system should be free from any political interference from governments and parliament,4=Approve Strongly,4=Approve Strongly,6,7,5,5,7,Frequently,Basic rights and freedoms can be restricted when it comes to security,Basic rights and freedoms can be limited when it comes to economic development
1017,20,2,2,4,6,6,9,1,2,,1,1,3,5,1,2,1,2,2,3,Delhi,Strongly agree,Unchecked,Checked,Checked,Unchecked,Unchecked,Experiment 3 - Treatment 4,Strongly  oppose,Strongly  oppose,Respect for Elders,Obedience,To be well-behaved,To have good manners,Strongly agree,Experiment 4 - Treatment 1,,5,3,5,Using overwhelming military force is the best way to defeat terrorism around the world,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,5,3,India can’t be too careful,Not so superior,The judicial system should be free from any political interference from governments and parliament,1= Disapprove strongly,3=Approve Somewhat,2,2,2,2,2,Frequently,Under no circumstances should basic rights and freedoms be restricted,Under no circumstances should basic rights and freedoms be restricted
