"support_war","strong_leader","compliance","female","age","income","religion","hindu","practicing_religion","education","political_ideology","employment","employed","marital_status","married","job_loss"
1,0,1,1,38,7,1,0,4,4,4,1,1,6,0,1
0,1,0,0,28,2,6,1,1,3,5,6,0,6,0,1
1,0,1,1,25,5,1,0,1,4,6,2,0,6,0,4
1,1,1,1,32,7,9,0,1,4,10,2,0,6,0,1
1,1,0,1,21,9,1,0,4,8,5,5,0,6,0,1
1,0,1,0,60,7,6,1,3,7,3,1,1,1,1,1
1,1,0,1,38,4,5,0,2,4,3,1,1,1,1,4
1,1,0,0,44,3,6,1,1,3,10,2,0,1,1,4
1,1,1,1,31,4,6,1,1,4,9,3,0,1,1,2
0,1,0,1,20,2,9,0,1,4,5,6,0,6,0,1
0,1,0,0,45,6,5,0,4,5,6,1,1,1,1,1
0,0,0,0,44,7,1,0,1,4,5,3,0,1,1,2
1,0,0,0,21,3,1,0,1,4,10,2,0,6,0,4
1,0,1,0,20,3,6,1,1,3,7,6,0,6,0,4
1,1,1,0,26,5,6,1,1,4,10,1,1,6,0,1
0,0,0,1,30,1,1,0,1,3,5,5,0,1,1,2
0,0,0,1,23,3,6,1,1,4,4,1,1,6,0,2
0,1,0,0,32,5,6,1,3,4,9,5,0,1,1,1
1,0,0,0,38,8,6,1,2,4,5,1,1,1,1,1
0,0,0,1,22,3,6,1,1,4,5,2,0,6,0,4
0,1,0,1,44,3,1,0,1,4,8,3,0,1,1,4
0,0,0,0,19,2,6,1,3,0,8,1,1,6,0,1
1,1,1,1,41,3,6,1,1,3,6,4,0,1,1,1
1,1,0,1,64,10,6,1,1,8,10,1,1,1,1,1
1,0,0,1,55,2,6,1,1,3,9,3,0,1,1,4
1,0,0,0,32,3,6,1,3,4,8,1,1,1,1,4
1,0,1,1,39,3,6,1,1,4,6,2,0,1,1,1
1,0,0,1,35,5,6,1,1,5,10,1,1,1,1,1
0,0,0,1,32,2,6,1,1,5,7,5,0,1,1,1
0,1,0,0,31,6,6,1,3,7,7,1,1,1,1,2
1,0,0,0,28,7,6,1,3,6,8,2,0,1,1,1
