"exp1_trt","outcome1","compl1","female","age","income","religion","Hindu","imp_rel","education","ideol","empl_status","employed","marital","married","job_worry","year"
3,NA,0,0,48,3,31,1,2,2,5,3,1,1,1,NA,2001
3,NA,0,1,38,6,31,1,2,2,5,6,0,1,1,NA,2001
-1,NA,0,0,42,3,31,1,4,6,5,1,1,1,1,NA,2001
3,NA,0,1,26,2,31,1,2,1,5,2,1,1,1,NA,2001
3,NA,0,1,39,4,31,1,2,1,5,6,0,1,1,NA,2001
-1,NA,0,0,24,3,31,1,2,1,-1,3,1,6,0,NA,2001
2,NA,1,1,28,4,31,1,3,8,5,6,0,1,1,NA,2001
3,NA,0,0,20,4,31,1,4,8,5,7,0,6,0,NA,2001
3,NA,0,0,42,4,31,1,4,7,5,1,1,1,1,NA,2001
2,NA,1,0,68,3,31,1,2,7,5,5,0,1,1,NA,2001
2,NA,1,1,21,3,31,1,2,8,5,6,0,1,1,NA,2001
2,NA,1,0,29,4,31,1,1,9,5,1,1,1,1,NA,2001
1,NA,1,1,37,5,31,1,2,3,5,6,0,2,0,NA,2001
3,NA,0,0,55,6,31,1,2,8,5,5,0,1,1,NA,2001
2,NA,1,0,42,3,49,0,2,9,1,3,1,1,1,NA,2001
2,NA,1,1,34,4,31,1,2,3,5,6,0,1,1,NA,2001
2,NA,1,0,46,3,31,1,2,8,-1,3,1,1,1,NA,2001
2,NA,1,0,41,6,31,1,1,9,5,1,1,1,1,NA,2001
2,NA,1,0,45,6,64,0,1,9,5,1,1,1,1,NA,2001
2,NA,1,0,77,4,64,0,1,8,5,5,0,1,1,NA,2001
1,NA,1,1,22,5,31,1,3,9,5,7,0,1,1,NA,2001
3,NA,0,0,29,6,31,1,3,7,5,3,1,1,1,NA,2001
2,NA,1,1,27,3,49,0,2,3,-1,6,0,1,1,NA,2001
3,NA,0,0,26,5,31,1,4,9,5,1,1,1,1,NA,2001
2,NA,1,1,20,5,31,1,1,8,-1,6,0,1,1,NA,2001
4,NA,0,0,58,7,31,1,4,9,3,1,1,2,0,NA,2001
3,NA,0,0,54,3,31,1,3,1,5,1,1,1,1,NA,2001
3,NA,0,1,25,2,31,1,3,1,5,1,1,1,1,NA,2001
3,NA,0,0,30,3,31,1,4,2,5,3,1,1,1,NA,2001
3,NA,0,1,34,1,31,1,2,1,5,1,1,1,1,NA,2001
-1,NA,0,1,35,2,31,1,3,1,5,6,0,1,1,NA,2001
3,NA,0,0,31,3,31,1,2,6,-1,3,1,1,1,NA,2001
2,NA,1,0,34,3,31,1,3,2,5,3,1,1,1,NA,2001
-1,NA,0,0,36,3,31,1,3,1,5,3,1,1,1,NA,2001
-1,NA,0,1,50,5,31,1,3,1,5,6,0,1,1,NA,2001
2,NA,1,0,23,2,49,0,3,1,5,3,1,1,1,NA,2001
-1,NA,0,1,26,2,31,1,2,2,-1,6,0,1,1,NA,2001
2,NA,1,0,60,3,31,1,2,1,5,3,1,1,1,NA,2001
-1,NA,0,0,26,3,31,1,3,1,1,3,1,1,1,NA,2001
2,NA,1,0,30,4,31,1,3,7,5,1,1,1,1,NA,2001
-1,NA,0,1,40,2,31,1,2,1,5,2,1,1,1,NA,2001
-1,NA,0,1,49,2,49,0,3,1,5,2,1,1,1,NA,2001
3,NA,0,0,26,4,49,0,2,-1,8,3,1,1,1,NA,2001
-1,NA,0,0,35,3,49,0,3,1,5,3,1,1,1,NA,2001
3,NA,0,0,25,2,31,1,3,9,5,3,1,6,0,NA,2001
3,NA,0,0,70,5,31,1,2,7,5,3,1,1,1,NA,2001
3,NA,0,0,27,5,31,1,2,8,5,4,0,6,0,NA,2001
2,NA,1,1,35,5,31,1,2,3,10,6,0,1,1,NA,2001
3,NA,0,0,30,3,31,1,2,1,10,3,1,1,1,NA,2001
3,NA,0,1,20,3,31,1,3,8,5,6,0,1,1,NA,2001
3,NA,0,0,28,3,31,1,3,8,5,3,1,1,1,NA,2001
3,NA,0,1,27,3,31,1,1,7,5,6,0,1,1,NA,2001
2,NA,1,0,28,3,31,1,1,3,5,1,1,6,0,NA,2001
3,NA,0,0,63,3,31,1,1,2,5,3,1,1,1,NA,2001
2,NA,1,1,40,2,31,1,2,2,5,2,1,1,1,NA,2001
3,NA,0,1,29,3,31,1,1,7,5,6,0,1,1,NA,2001
3,NA,0,1,25,3,31,1,2,2,5,6,0,1,1,NA,2001
2,NA,1,1,58,6,31,1,1,3,-1,6,0,1,1,NA,2001
3,NA,0,0,23,5,31,1,3,7,5,1,1,1,1,NA,2001
3,NA,0,1,40,3,31,1,1,3,5,6,0,1,1,NA,2001
3,NA,0,0,58,4,31,1,2,6,-1,3,1,1,1,NA,2001
2,NA,1,0,36,5,31,1,1,8,5,3,1,1,1,NA,2001
2,NA,1,0,67,6,31,1,2,6,5,3,1,1,1,NA,2001
3,NA,0,0,36,3,31,1,2,8,5,1,1,1,1,NA,2001
3,NA,0,0,82,6,31,1,2,7,5,5,0,1,1,NA,2001
2,NA,1,1,40,4,31,1,2,6,5,6,0,1,1,NA,2001
2,NA,1,0,36,3,31,1,1,3,5,3,1,1,1,NA,2001
4,NA,0,0,46,5,31,1,2,9,8,6,0,1,1,NA,2001
4,NA,0,0,23,5,31,1,3,9,5,7,0,6,0,NA,2001
2,NA,1,1,70,6,31,1,1,8,5,6,0,5,0,NA,2001
3,NA,0,0,80,5,31,1,1,3,8,5,0,1,1,NA,2001
3,NA,0,0,32,3,31,1,2,3,5,3,1,1,1,NA,2001
3,NA,0,1,40,6,31,1,3,6,5,3,1,1,1,NA,2001
4,NA,0,1,21,5,31,1,4,8,-1,-1,1,6,0,NA,2001
2,NA,1,0,45,6,-2,0,3,9,5,3,1,1,1,NA,2001
3,NA,0,0,34,4,31,1,2,2,5,3,1,1,1,NA,2001
3,NA,0,1,38,4,31,1,2,1,5,3,1,1,1,NA,2001
2,NA,1,1,39,4,31,1,2,7,5,6,0,1,1,NA,2001
3,NA,0,1,30,3,31,1,2,3,5,2,1,1,1,NA,2001
2,NA,1,0,35,1,31,1,1,3,5,3,1,1,1,NA,2001
3,NA,0,1,55,4,31,1,2,2,5,3,1,1,1,NA,2001
4,NA,0,0,58,8,0,0,4,9,5,5,0,1,1,NA,2001
3,NA,0,0,19,5,31,1,3,9,3,7,0,6,0,NA,2001
3,NA,0,1,32,3,31,1,2,3,5,7,0,1,1,NA,2001
2,NA,1,0,45,3,31,1,2,3,5,1,1,1,1,NA,2001
2,NA,1,0,58,5,31,1,1,8,5,3,1,1,1,NA,2001
2,NA,1,1,29,6,31,1,3,8,-1,6,0,1,1,NA,2001
3,NA,0,0,58,2,31,1,3,7,-1,3,1,1,1,NA,2001
-1,NA,0,1,25,2,31,1,2,2,5,6,0,1,1,NA,2001
3,NA,0,0,54,5,31,1,1,8,5,3,1,1,1,NA,2001
4,NA,0,0,39,5,31,1,2,9,5,3,1,1,1,NA,2001
3,NA,0,0,38,6,31,1,2,8,5,3,1,1,1,NA,2001
3,NA,0,0,20,4,31,1,3,8,5,7,0,6,0,NA,2001
3,NA,0,0,48,5,31,1,1,8,5,7,0,1,1,NA,2001
3,NA,0,0,40,3,31,1,1,6,5,3,1,1,1,NA,2001
3,NA,0,1,24,5,31,1,2,8,5,1,1,6,0,NA,2001
3,NA,0,1,28,5,31,1,2,8,5,6,0,1,1,NA,2001
4,NA,0,1,34,5,71,0,2,8,5,6,0,1,1,NA,2001
3,NA,0,1,42,6,31,1,1,6,5,3,1,1,1,NA,2001
3,NA,0,1,35,3,49,0,1,1,5,6,0,1,1,NA,2001
4,NA,0,1,-1,5,31,1,3,7,5,6,0,1,1,NA,2001
2,NA,1,0,46,3,31,1,1,9,5,3,1,1,1,NA,2001
3,NA,0,1,31,3,31,1,1,3,5,6,0,1,1,NA,2001
-1,NA,0,1,32,4,31,1,3,1,-1,6,0,1,1,NA,2001
1,NA,1,0,28,3,64,0,1,1,3,1,1,1,1,NA,2001
4,NA,0,0,34,3,31,1,3,6,5,3,1,1,1,NA,2001
2,NA,1,0,81,8,64,0,1,9,3,5,0,1,1,NA,2001
2,NA,1,0,51,4,31,1,2,9,5,1,1,1,1,NA,2001
1,NA,1,0,54,5,31,1,1,9,5,5,0,1,1,NA,2001
3,NA,0,1,24,5,31,1,4,8,5,8,0,6,0,NA,2001
3,NA,0,0,35,5,31,1,3,8,3,3,1,1,1,NA,2001
2,NA,1,1,26,3,31,1,3,1,1,6,0,1,1,NA,2001
3,NA,0,0,68,3,31,1,3,9,8,5,0,1,1,NA,2001
1,NA,1,1,55,3,31,1,3,1,3,3,1,1,1,NA,2001
1,NA,1,0,49,6,31,1,2,9,3,1,1,1,1,NA,2001
3,NA,0,1,24,6,31,1,2,9,5,6,0,1,1,NA,2001
3,NA,0,0,31,3,31,1,1,2,5,1,1,1,1,NA,2001
4,NA,0,0,59,9,0,0,4,9,3,1,1,1,1,NA,2001
3,NA,0,0,44,3,71,0,2,6,5,3,1,1,1,NA,2001
3,NA,0,0,82,6,31,1,1,9,8,3,1,1,1,NA,2001
-1,NA,0,1,48,1,31,1,1,6,-1,2,1,1,1,NA,2001
1,NA,1,0,32,6,31,1,4,9,1,1,1,1,1,NA,2001
3,NA,0,0,70,6,31,1,3,9,3,2,1,1,1,NA,2001
1,NA,1,0,58,4,31,1,3,6,3,3,1,1,1,NA,2001
1,NA,1,0,39,3,31,1,4,2,5,3,1,1,1,NA,2001
-1,NA,0,1,22,1,31,1,3,8,-1,7,0,6,0,NA,2001
3,NA,0,0,36,3,31,1,1,8,-1,2,1,1,1,NA,2001
-1,NA,0,1,29,3,49,0,2,1,5,6,0,1,1,NA,2001
2,NA,1,0,52,2,31,1,3,3,5,1,1,1,1,NA,2001
-1,NA,0,1,56,4,64,0,4,1,-1,6,0,1,1,NA,2001
3,NA,0,1,34,2,49,0,2,2,-1,8,0,1,1,NA,2001
-1,NA,0,1,40,5,31,1,3,2,-1,2,1,1,1,NA,2001
-1,NA,0,1,59,4,31,1,1,3,8,6,0,1,1,NA,2001
4,NA,0,0,45,5,31,1,3,7,-1,1,1,1,1,NA,2001
3,NA,0,0,39,5,31,1,4,7,5,2,1,1,1,NA,2001
2,NA,1,0,24,3,31,1,4,3,5,7,0,6,0,NA,2001
4,NA,0,0,47,3,31,1,4,6,-1,8,0,1,1,NA,2001
-1,NA,0,1,35,3,64,0,3,3,-1,6,0,1,1,NA,2001
3,NA,0,0,42,5,31,1,3,7,5,3,1,1,1,NA,2001
3,NA,0,0,76,4,31,1,4,1,5,8,0,1,1,NA,2001
3,NA,0,0,41,5,31,1,3,9,3,1,1,1,1,NA,2001
-1,NA,0,1,40,5,31,1,3,3,5,6,0,1,1,NA,2001
3,NA,0,1,38,4,31,1,1,9,5,6,0,1,1,NA,2001
3,NA,0,1,32,4,31,1,4,7,3,6,0,1,1,NA,2001
4,NA,0,1,24,4,31,1,4,7,5,6,0,1,1,NA,2001
3,NA,0,0,34,6,31,1,3,8,5,3,1,1,1,NA,2001
3,NA,0,1,52,5,31,1,3,6,5,6,0,1,1,NA,2001
1,NA,1,0,40,4,31,1,1,7,5,1,1,1,1,NA,2001
2,NA,1,0,37,3,31,1,3,8,5,1,1,1,1,NA,2001
3,NA,0,1,55,5,31,1,1,7,-1,1,1,1,1,NA,2001
2,NA,1,0,50,5,31,1,4,2,5,3,1,1,1,NA,2001
3,NA,0,0,39,3,49,0,4,2,5,3,1,1,1,NA,2001
2,NA,1,0,65,3,31,1,2,8,8,1,1,1,1,NA,2001
3,NA,0,1,40,2,31,1,4,3,3,7,0,1,1,NA,2001
2,NA,1,0,43,2,64,0,2,1,3,7,0,1,1,NA,2001
2,NA,1,1,26,2,31,1,1,6,5,6,0,1,1,NA,2001
-1,NA,0,1,30,2,31,1,1,1,8,7,0,1,1,NA,2001
-1,NA,0,1,30,3,31,1,3,3,3,7,0,1,1,NA,2001
3,NA,0,0,27,2,31,1,1,3,5,1,1,1,1,NA,2001
2,NA,1,1,32,2,31,1,1,3,8,2,1,1,1,NA,2001
-1,NA,0,1,35,3,31,1,3,1,-1,7,0,1,1,NA,2001
3,NA,0,0,57,3,31,1,2,3,8,5,0,1,1,NA,2001
3,NA,0,0,26,3,-2,0,2,8,10,7,0,6,0,NA,2001
3,NA,0,0,45,2,64,0,2,1,8,7,0,1,1,NA,2001
2,NA,1,0,35,2,31,1,2,1,3,7,0,1,1,NA,2001
4,NA,0,0,65,4,64,0,1,1,-1,7,0,1,1,NA,2001
3,NA,0,0,32,3,31,1,1,8,3,1,1,1,1,NA,2001
2,NA,1,0,32,4,31,1,1,8,8,3,1,1,1,NA,2001
-1,NA,0,0,62,5,31,1,1,1,-1,7,0,1,1,NA,2001
3,NA,0,0,40,3,31,1,1,8,8,1,1,1,1,NA,2001
3,NA,0,0,40,3,31,1,1,3,10,7,0,1,1,NA,2001
-1,NA,0,0,32,2,31,1,2,3,3,7,0,1,1,NA,2001
1,NA,1,0,23,2,31,1,2,6,3,7,0,1,1,NA,2001
1,NA,1,0,35,2,31,1,1,3,3,3,1,1,1,NA,2001
2,NA,1,0,22,2,71,0,2,6,8,7,0,6,0,NA,2001
2,NA,1,0,20,3,71,0,3,8,3,3,1,6,0,NA,2001
2,NA,1,1,70,1,71,0,1,3,-1,6,0,1,1,NA,2001
3,NA,0,1,70,3,31,1,1,1,8,7,0,1,1,NA,2001
-1,NA,0,0,45,3,64,0,2,9,8,1,1,1,1,NA,2001
2,NA,1,0,52,2,31,1,2,1,5,7,0,1,1,NA,2001
3,NA,0,0,30,3,64,0,2,7,3,2,1,1,1,NA,2001
2,NA,1,0,27,2,31,1,2,1,-1,1,1,1,1,NA,2001
4,NA,0,0,20,2,31,1,3,3,-1,2,1,6,0,NA,2001
2,NA,1,1,30,3,64,0,1,7,5,2,1,1,1,NA,2001
2,NA,1,0,25,2,31,1,1,6,8,1,1,1,1,NA,2001
3,NA,0,0,42,2,64,0,1,1,5,2,1,1,1,NA,2001
-1,NA,0,1,35,2,31,1,3,3,-1,2,1,1,1,NA,2001
-1,NA,0,0,32,2,64,0,1,3,-1,1,1,1,1,NA,2001
-1,NA,0,0,37,2,64,0,1,3,3,2,1,1,1,NA,2001
3,NA,0,0,32,3,31,1,3,9,8,1,1,1,1,NA,2001
3,NA,0,0,35,2,64,0,1,3,-1,1,1,1,1,NA,2001
2,NA,1,0,52,2,31,1,1,1,1,1,1,6,0,NA,2001
-1,NA,0,1,45,2,31,1,2,1,-1,2,1,1,1,NA,2001
2,NA,1,0,30,2,64,0,1,3,8,1,1,1,1,NA,2001
3,NA,0,1,38,2,31,1,1,3,-1,2,1,1,1,NA,2001
3,NA,0,0,32,3,-2,0,1,7,1,2,1,5,0,NA,2001
2,NA,1,1,40,2,31,1,1,1,8,1,1,1,1,NA,2001
2,NA,1,1,35,2,31,1,1,3,8,2,1,1,1,NA,2001
3,NA,0,1,25,3,31,1,1,7,5,2,1,1,1,NA,2001
2,NA,1,0,30,2,31,1,1,7,1,2,1,1,1,NA,2001
-1,NA,0,1,36,3,31,1,3,1,5,6,0,1,1,NA,2001
2,NA,1,0,28,3,31,1,2,9,5,3,1,6,0,NA,2001
